iev	time	count	locflow_time	diff	var	phase_type
215	2022-05-03 12:44:13.878813952+00:00	43	2022-05-03 12:44:05.323000+00:00	-8.555813	0.001996345514950162	S
217	2022-05-03 12:48:47.678588160+00:00	34	2022-05-03 12:48:56.683000+00:00	9.004412	0.004631461675579334	P
217	2022-05-03 12:48:47.723000064+00:00	38	2022-05-03 12:48:56.683000+00:00	8.96	0.004383783783783774	S
217	2022-05-03 12:49:05.261809408+00:00	42	2022-05-03 12:48:56.683000+00:00	-8.578809	0.005005865272938434	S
218	2022-05-03 14:08:34.600081152+00:00	74	2022-05-03 14:08:27.844000+00:00	-6.756081	0.016407719363198823	P
218	2022-05-03 14:08:35.839068416+00:00	73	2022-05-03 14:08:27.844000+00:00	-7.995068	0.009211453576864533	S
220	2022-05-03 15:33:19.642091520+00:00	131	2022-05-03 15:33:12.464000+00:00	-7.178091	0.03890325308279505	P
220	2022-05-03 15:33:20.507176960+00:00	85	2022-05-03 15:33:12.464000+00:00	-8.043176	0.03767669467787118	P
220	2022-05-03 15:33:21.126835456+00:00	261	2022-05-03 15:33:12.464000+00:00	-8.662835	0.005791930445033898	S
221	2022-05-03 15:35:12.121101568+00:00	69	2022-05-03 15:35:03.584000+00:00	-8.537101	0.004488533674339302	S
222	2022-05-03 15:46:14.481749760+00:00	40	2022-05-03 15:46:06.764000+00:00	-7.717749	0.07340250000000004	P
222	2022-05-03 15:46:15.313393920+00:00	99	2022-05-03 15:46:06.764000+00:00	-8.549393	0.006524118738404443	S
223	2022-05-03 15:55:40.607462656+00:00	413	2022-05-03 15:55:33.424000+00:00	-7.183462	0.025325603563788525	P
223	2022-05-03 15:55:41.441704960+00:00	61	2022-05-03 15:55:33.424000+00:00	-8.017704	0.03129464480874317	P
223	2022-05-03 15:55:41.964588032+00:00	102	2022-05-03 15:55:33.424000+00:00	-8.540588	0.0005719277810134059	S
223	2022-05-03 15:55:42.077970432+00:00	408	2022-05-03 15:55:33.424000+00:00	-8.65397	0.00258517849400203	S
224	2022-05-03 16:45:47.308328448+00:00	499	2022-05-03 16:45:40.084000+00:00	-7.224328	0.016099297389960646	P
224	2022-05-03 16:45:48.185898240+00:00	79	2022-05-03 16:45:40.084000+00:00	-8.101898	0.04340788704965919	P
224	2022-05-03 16:45:48.737272576+00:00	602	2022-05-03 16:45:40.084000+00:00	-8.653272	0.004775463098600899	S
225	2022-05-03 17:29:53.827982336+00:00	113	2022-05-03 17:29:47.084000+00:00	-6.743982	0.07342417825537292	P
225	2022-05-03 17:29:54.061553664+00:00	139	2022-05-03 17:29:47.084000+00:00	-6.977553	0.010331654676258989	P
225	2022-05-03 17:29:55.258600704+00:00	263	2022-05-03 17:29:47.084000+00:00	-8.1746	0.010587530839114158	S
226	2022-05-03 22:34:39.752384256+00:00	661	2022-05-03 22:34:32.606000+00:00	-7.146384	0.003638270297529002	P
226	2022-05-03 22:34:40.920704+00:00	574	2022-05-03 22:34:32.606000+00:00	-8.314704	0.0015652698980243443	S
226	2022-05-03 22:34:41.057011200+00:00	89	2022-05-03 22:34:32.606000+00:00	-8.451011	0.013122829417773237	S
227	2022-05-03 22:35:13.446296576+00:00	236	2022-05-03 22:35:06.286000+00:00	-7.160296	0.006292252073566534	P
227	2022-05-03 22:35:14.633663744+00:00	244	2022-05-03 22:35:06.286000+00:00	-8.347663	0.004948841327666468	S
228	2022-05-04 00:33:14.266685952+00:00	522	2022-05-04 00:33:06.600000+00:00	-7.666685	0.031713947169089755	P
228	2022-05-04 00:33:15.616116480+00:00	533	2022-05-04 00:33:06.600000+00:00	-9.016116	0.004245978924797915	S
230	2022-05-04 14:33:19.827247616+00:00	465	2022-05-04 14:33:11.884000+00:00	-7.943247	0.010828440860215054	P
230	2022-05-04 14:33:21.109632768+00:00	490	2022-05-04 14:33:11.884000+00:00	-9.225632	0.004186613246525597	S
231	2022-05-04 14:37:57.872782080+00:00	156	2022-05-04 14:37:49.984000+00:00	-7.888782	0.024782377998345734	P
231	2022-05-04 14:37:59.151756800+00:00	214	2022-05-04 14:37:49.984000+00:00	-9.167756	0.005594945373173621	S
232	2022-05-04 16:52:52.421701120+00:00	348	2022-05-04 16:52:44.784000+00:00	-7.637701	0.03327193348570668	P
232	2022-05-04 16:52:53.533795328+00:00	391	2022-05-04 16:52:44.784000+00:00	-8.749795	0.002793804183880908	S
233	2022-05-04 18:43:03.777289216+00:00	83	2022-05-04 18:42:56.045000+00:00	-7.732289	0.07789591536879223	P
233	2022-05-04 18:43:04.227727104+00:00	154	2022-05-04 18:42:56.045000+00:00	-8.182727	0.08400297088532382	P
233	2022-05-04 18:43:04.900342784+00:00	219	2022-05-04 18:42:56.045000+00:00	-8.855342	0.006891969335176569	S
233	2022-05-04 18:43:05.042142976+00:00	42	2022-05-04 18:42:56.045000+00:00	-8.997142	0.0027135888501741857	S
234	2022-05-04 18:45:47.248333568+00:00	36	2022-05-04 18:45:39.165000+00:00	-8.083333	0.05590285714285723	P
234	2022-05-04 18:45:48.096136704+00:00	44	2022-05-04 18:45:39.165000+00:00	-8.931136	0.00430798097251588	S
235	2022-05-04 21:00:58.623635456+00:00	689	2022-05-04 21:00:50.625000+00:00	-7.998635	0.00040278715360988	P
235	2022-05-04 21:00:59.760465152+00:00	688	2022-05-04 21:00:50.625000+00:00	-9.135465	0.0023651399749500734	S
236	2022-05-04 21:10:25.744041216+00:00	532	2022-05-04 21:10:17.925000+00:00	-7.819041	0.011013580207581095	P
236	2022-05-04 21:10:26.881026560+00:00	526	2022-05-04 21:10:17.925000+00:00	-8.956026	0.002142086909288428	S
237	2022-05-05 07:17:46.770124800+00:00	48	2022-05-05 07:17:38.522000+00:00	-8.248124	0.03896023936170217	P
237	2022-05-05 07:17:47.244787456+00:00	287	2022-05-05 07:17:38.522000+00:00	-8.722787	0.061347447674276884	P
237	2022-05-05 07:17:48.383363584+00:00	352	2022-05-05 07:17:38.522000+00:00	-9.861363	0.006621497021497034	S
238	2022-05-05 13:09:56.458555648+00:00	45	2022-05-05 13:09:46.823000+00:00	-9.635555	0.003929797979797976	S
239	2022-05-05 14:34:53.564943360+00:00	53	2022-05-05 14:35:01.984000+00:00	8.419057	0.01523178519593613	P
239	2022-05-05 14:34:53.596380672+00:00	42	2022-05-05 14:35:01.984000+00:00	8.38762	0.01233077816492452	S
239	2022-05-05 14:35:11.677409024+00:00	44	2022-05-05 14:35:01.984000+00:00	-9.693409	0.006171828752642716	S
240	2022-05-05 15:17:07.755475456+00:00	61	2022-05-05 15:16:59.124000+00:00	-8.631475	0.03803612021857924	P
240	2022-05-05 15:17:08.934599936+00:00	50	2022-05-05 15:16:59.124000+00:00	-9.810599	0.015291469387755068	S
240	2022-05-05 15:17:09.078359040+00:00	39	2022-05-05 15:16:59.124000+00:00	-9.954359	0.012093657219972995	S
